year,ruler_count,ruler_name,display_name,dynasty,house_color,start_year,end_year,wiki_title,notes,fait_1,fait_2,fait_3
497,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
498,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
499,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
500,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
501,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
502,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
503,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
504,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
505,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
506,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
507,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
508,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
509,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
510,1,Clovis I,Clovis I,Merovingiens,#6d597a,481,511,Clovis I,Premier roi franc traditionnellement retenu,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine."
511,2,Clovis I | Childebert I,Clovis I & Childebert I,Merovingiens,#6d597a,481 & 511,511 & 558,Clovis I | Childebert I,Premier roi franc traditionnellement retenu | Succession canonique simplifiee avant la pleine unification,"Clovis Ier, en latin Chlodovechus, né vers 466 et mort à Paris le 27 novembre 511, est roi des Francs saliens, puis roi de tous les Francs de 481 à 511. | Childebert Ier (son nom est composé des éléments franciques hild « bataille » et berth « brillant »), né vers 497 à Reims et mort le 23 décembre 558 à Paris, est roi de Paris de 511 à 558 et roi d'Orléans de 524 à 558.","Issu de la dynastie des Mérovingiens, il est le fils de Childéric Ier, roi des Francs saliens de Tournai (en actuelle Belgique), et de la reine Basine de Thuringe. | Il est le troisième des quatre fils que Clovis eut avec Clotilde.","Chef militaire, il accroît considérablement le territoire du petit royaume des Francs saliens, dont il hérite à la mort de son père, pour unifier une grande partie des royaumes francs, repousser Alamans et Burgondes et annexer les territoires des Wisigoths dans le Sud de la Gaule ainsi que le Royaume de Soissons contrôlé par Syagrius et qui correspond à une partie de la Lyonnaise romaine. | Succession canonique simplifiee avant la pleine unification"
512,1,Childebert I,Childebert I,Merovingiens,#6d597a,511,558,Childebert I,Succession canonique simplifiee avant la pleine unification,"Childebert Ier (son nom est composé des éléments franciques hild « bataille » et berth « brillant »), né vers 497 à Reims et mort le 23 décembre 558 à Paris, est roi de Paris de 511 à 558 et roi d'Orléans de 524 à 558.",Il est le troisième des quatre fils que Clovis eut avec Clotilde.,Succession canonique simplifiee avant la pleine unification
513,1,Childebert I,Childebert I,Merovingiens,#6d597a,511,558,Childebert I,Succession canonique simplifiee avant la pleine unification,"Childebert Ier (son nom est composé des éléments franciques hild « bataille » et berth « brillant »), né vers 497 à Reims et mort le 23 décembre 558 à Paris, est roi de Paris de 511 à 558 et roi d'Orléans de 524 à 558.",Il est le troisième des quatre fils que Clovis eut avec Clotilde.,Succession canonique simplifiee avant la pleine unification
514,1,Childebert I,Childebert I,Merovingiens,#6d597a,511,558,Childebert I,Succession canonique simplifiee avant la pleine unification,"Childebert Ier (son nom est composé des éléments franciques hild « bataille » et berth « brillant »), né vers 497 à Reims et mort le 23 décembre 558 à Paris, est roi de Paris de 511 à 558 et roi d'Orléans de 524 à 558.",Il est le troisième des quatre fils que Clovis eut avec Clotilde.,Succession canonique simplifiee avant la pleine unification
515,1,Childebert I,Childebert I,Merovingiens,#6d597a,511,558,Childebert I,Succession canonique simplifiee avant la pleine unification,"Childebert Ier (son nom est composé des éléments franciques hild « bataille » et berth « brillant »), né vers 497 à Reims et mort le 23 décembre 558 à Paris, est roi de Paris de 511 à 558 et roi d'Orléans de 524 à 558.",Il est le troisième des quatre fils que Clovis eut avec Clotilde.,Succession canonique simplifiee avant la pleine unification
516,1,Childebert I,Childebert I,Merovingiens,#6d597a,511,558,Childebert I,Succession canonique simplifiee avant la pleine unification,"Childebert Ier (son nom est composé des éléments franciques hild « bataille » et berth « brillant »), né vers 497 à Reims et mort le 23 décembre 558 à Paris, est roi de Paris de 511 à 558 et roi d'Orléans de 524 à 558.",Il est le troisième des quatre fils que Clovis eut avec Clotilde.,Succession canonique simplifiee avant la pleine unification
517,1,Childebert I,Childebert I,Merovingiens,#6d597a,511,558,Childebert I,Succession canonique simplifiee avant la pleine unification,"Childebert Ier (son nom est composé des éléments franciques hild « bataille » et berth « brillant »), né vers 497 à Reims et mort le 23 décembre 558 à Paris, est roi de Paris de 511 à 558 et roi d'Orléans de 524 à 558.",Il est le troisième des quatre fils que Clovis eut avec Clotilde.,Succession canonique simplifiee avant la pleine unification
518,1,Childebert I,Childebert I,Merovingiens,#6d597a,511,558,Childebert I,Succession canonique simplifiee avant la pleine unification,"Childebert Ier (son nom est composé des éléments franciques hild « bataille » et berth « brillant »), né vers 497 à Reims et mort le 23 décembre 558 à Paris, est roi de Paris de 511 à 558 et roi d'Orléans de 524 à 558.",Il est le troisième des quatre fils que Clovis eut avec Clotilde.,Succession canonique simplifiee avant la pleine unification
519,1,Childebert I,Childebert I,Merovingiens,#6d597a,511,558,Childebert I,Succession canonique simplifiee avant la pleine unification,"Childebert Ier (son nom est composé des éléments franciques hild « bataille » et berth « brillant »), né vers 497 à Reims et mort le 23 décembre 558 à Paris, est roi de Paris de 511 à 558 et roi d'Orléans de 524 à 558.",Il est le troisième des quatre fils que Clovis eut avec Clotilde.,Succession canonique simplifiee avant la pleine unification
520,1,Childebert I,Childebert I,Merovingiens,#6d597a,511,558,Childebert I,Succession canonique simplifiee avant la pleine unification,"Childebert Ier (son nom est composé des éléments franciques hild « bataille » et berth « brillant »), né vers 497 à Reims et mort le 23 décembre 558 à Paris, est roi de Paris de 511 à 558 et roi d'Orléans de 524 à 558.",Il est le troisième des quatre fils que Clovis eut avec Clotilde.,Succession canonique simplifiee avant la pleine unification
521,1,Childebert I,Childebert I,Merovingiens,#6d597a,511,558,Childebert I,Succession canonique simplifiee avant la pleine unification,"Childebert Ier (son nom est composé des éléments franciques hild « bataille » et berth « brillant »), né vers 497 à Reims et mort le 23 décembre 558 à Paris, est roi de Paris de 511 à 558 et roi d'Orléans de 524 à 558.",Il est le troisième des quatre fils que Clovis eut avec Clotilde.,Succession canonique simplifiee avant la pleine unification
522,1,Childebert I,Childebert I,Merovingiens,#6d597a,511,558,Childebert I,Succession canonique simplifiee avant la pleine unification,"Childebert Ier (son nom est composé des éléments franciques hild « bataille » et berth « brillant »), né vers 497 à Reims et mort le 23 décembre 558 à Paris, est roi de Paris de 511 à 558 et roi d'Orléans de 524 à 558.",Il est le troisième des quatre fils que Clovis eut avec Clotilde.,Succession canonique simplifiee avant la pleine unification
523,1,Childebert I,Childebert I,Merovingiens,#6d597a,511,558,Childebert I,Succession canonique simplifiee avant la pleine unification,"Childebert Ier (son nom est composé des éléments franciques hild « bataille » et berth « brillant »), né vers 497 à Reims et mort le 23 décembre 558 à Paris, est roi de Paris de 511 à 558 et roi d'Orléans de 524 à 558.",Il est le troisième des quatre fils que Clovis eut avec Clotilde.,Succession canonique simplifiee avant la pleine unification
